postal_code,country_en,country_code,region1_lc,region1_en,region2_lc,region2_en,longitude,latitude,timezone,utc
B1557,Argentina,AR,BuenosAires,BuenosAires,LaMatanza,LaMatanza,-58.575275,-34.752098,America/Argentina/Buenos_Aires,UTC-03:00
B1602,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.478264,-34.535841,America/Argentina/Buenos_Aires,UTC-03:00
B1603,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.517158,-34.548997,America/Argentina/Buenos_Aires,UTC-03:00
B1604,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.521608,-34.543376,America/Argentina/Buenos_Aires,UTC-03:00
B1605,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.521126,-34.523537,America/Argentina/Buenos_Aires,UTC-03:00
B1606,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.536567,-34.530862,America/Argentina/Buenos_Aires,UTC-03:00
B1607,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.542132,-34.514296,America/Argentina/Buenos_Aires,UTC-03:00
B1608,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.596931,-34.45325,America/Argentina/Buenos_Aires,UTC-03:00
B1609,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.568636,-34.517499,America/Argentina/Buenos_Aires,UTC-03:00
B1610,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.685626,-34.460127,America/Argentina/Buenos_Aires,UTC-03:00
B1611,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.607487,-34.495749,America/Argentina/Buenos_Aires,UTC-03:00
B1612,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.666693,-34.50305,America/Argentina/Buenos_Aires,UTC-03:00
B1613,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.717752,-34.507725,America/Argentina/Buenos_Aires,UTC-03:00
B1614,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.666415,-34.48676,America/Argentina/Buenos_Aires,UTC-03:00
B1615,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.745625,-34.494941,America/Argentina/Buenos_Aires,UTC-03:00
B1616,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.710051,-34.485154,America/Argentina/Buenos_Aires,UTC-03:00
B1617,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.652109,-34.457751,America/Argentina/Buenos_Aires,UTC-03:00
B1618,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.70601,-34.421426,America/Argentina/Buenos_Aires,UTC-03:00
B1621,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.638284,-34.453146,America/Argentina/Buenos_Aires,UTC-03:00
B1622,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.701887,-34.424597,America/Argentina/Buenos_Aires,UTC-03:00
B1624,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.64113,-34.396526,America/Argentina/Buenos_Aires,UTC-03:00
B1629,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.909011,-34.474308,America/Argentina/Buenos_Aires,UTC-03:00
B1630,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.90471,-34.436186,America/Argentina/Buenos_Aires,UTC-03:00
B1631,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.871436,-34.413928,America/Argentina/Buenos_Aires,UTC-03:00
B1633,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.913704,-34.449295,America/Argentina/Buenos_Aires,UTC-03:00
B1634,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.833572,-34.485012,America/Argentina/Buenos_Aires,UTC-03:00
B1635,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.871276,-34.420958,America/Argentina/Buenos_Aires,UTC-03:00
B1636,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.484174,-34.514156,America/Argentina/Buenos_Aires,UTC-03:00
B1637,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.493956,-34.500189,America/Argentina/Buenos_Aires,UTC-03:00
B1638,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.47167,-34.527938,America/Argentina/Buenos_Aires,UTC-03:00
B1640,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.533505,-34.507285,America/Argentina/Buenos_Aires,UTC-03:00
B1641,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.497645,-34.475889,America/Argentina/Buenos_Aires,UTC-03:00
B1642,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.516569,-34.465082,America/Argentina/Buenos_Aires,UTC-03:00
B1643,Argentina,AR,BuenosAires,BuenosAires,SanIsidro,SanIsidro,-58.55966,-34.478237,America/Argentina/Buenos_Aires,UTC-03:00
B1644,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.527438,-34.449475,America/Argentina/Buenos_Aires,UTC-03:00
B1645,Argentina,AR,BuenosAires,BuenosAires,SanFernando(2),SanFernando(2),-58.59505,-34.473162,America/Argentina/Buenos_Aires,UTC-03:00
B1646,Argentina,AR,BuenosAires,BuenosAires,SanFernando(2),SanFernando(2),-58.558311,-34.433556,America/Argentina/Buenos_Aires,UTC-03:00
B1657,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.59353,-34.569468,America/Argentina/Buenos_Aires,UTC-03:00
B1659,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.714814,-34.554829,America/Argentina/Buenos_Aires,UTC-03:00
B1660,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.777033,-34.492218,America/Argentina/Buenos_Aires,UTC-03:00
B1647,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.547619,-34.433607,America/Argentina/Buenos_Aires,UTC-03:00
B1648,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.573666,-34.43339,America/Argentina/Buenos_Aires,UTC-03:00
B1649,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.56612,-34.431422,America/Argentina/Buenos_Aires,UTC-03:00
B1650,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.579882,-34.57017,America/Argentina/Buenos_Aires,UTC-03:00
B1651,Argentina,AR,BuenosAires,BuenosAires,VicenteLópez,VicenteLópez,-58.515039,-34.563364,America/Argentina/Buenos_Aires,UTC-03:00
B1653,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.552365,-34.558894,America/Argentina/Buenos_Aires,UTC-03:00
B1655,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.589947,-34.546771,America/Argentina/Buenos_Aires,UTC-03:00
B1661,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.701626,-34.582613,America/Argentina/Buenos_Aires,UTC-03:00
B1662,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.72084,-34.566062,America/Argentina/Buenos_Aires,UTC-03:00
B1663,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.733666,-34.585418,America/Argentina/Buenos_Aires,UTC-03:00
B1664,Argentina,AR,BuenosAires,BuenosAires,Pilar,Pilar,-58.771397,-34.457043,America/Argentina/Buenos_Aires,UTC-03:00
B1665,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.730418,-34.522783,America/Argentina/Buenos_Aires,UTC-03:00
B1666,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.794286,-34.52467,America/Argentina/Buenos_Aires,UTC-03:00
B1667,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.709962,-34.448301,America/Argentina/Buenos_Aires,UTC-03:00
B1669,Argentina,AR,BuenosAires,BuenosAires,GeneralSarmiento,GeneralSarmiento,-58.804482,-34.444149,America/Argentina/Buenos_Aires,UTC-03:00
B1670,Argentina,AR,BuenosAires,BuenosAires,Tigre,Tigre,-58.643802,-34.502219,America/Argentina/Buenos_Aires,UTC-03:00
B1672,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.530029,-34.593763,America/Argentina/Buenos_Aires,UTC-03:00
B1674,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.536488,-34.597068,America/Argentina/Buenos_Aires,UTC-03:00
B1675,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.53408,-34.605765,America/Argentina/Buenos_Aires,UTC-03:00
B1676,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.543042,-34.598121,America/Argentina/Buenos_Aires,UTC-03:00
B1678,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.576937,-34.613566,America/Argentina/Buenos_Aires,UTC-03:00
B1682,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.570975,-34.589881,America/Argentina/Buenos_Aires,UTC-03:00
B1683,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.58369,-34.589403,America/Argentina/Buenos_Aires,UTC-03:00
B1684,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.586806,-34.599428,America/Argentina/Buenos_Aires,UTC-03:00
B1685,Argentina,AR,BuenosAires,BuenosAires,Morón,Morón,-58.581501,-34.626641,America/Argentina/Buenos_Aires,UTC-03:00
B1686,Argentina,AR,BuenosAires,BuenosAires,Morón,Morón,-58.629123,-34.596942,America/Argentina/Buenos_Aires,UTC-03:00
B1687,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.601848,-34.576278,America/Argentina/Buenos_Aires,UTC-03:00
B1688,Argentina,AR,BuenosAires,BuenosAires,Morón,Morón,-58.642443,-34.62603,America/Argentina/Buenos_Aires,UTC-03:00
B1689,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.622622,-34.570258,America/Argentina/Buenos_Aires,UTC-03:00
B1690,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.615691,-34.569403,America/Argentina/Buenos_Aires,UTC-03:00
B1691,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.614239,-34.562284,America/Argentina/Buenos_Aires,UTC-03:00
B1692,Argentina,AR,BuenosAires,BuenosAires,GeneralSanMartín,GeneralSanMartín,-58.61483,-34.55259,America/Argentina/Buenos_Aires,UTC-03:00
B1702,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.550984,-34.620872,America/Argentina/Buenos_Aires,UTC-03:00
B1703,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.533829,-34.621468,America/Argentina/Buenos_Aires,UTC-03:00
B1704,Argentina,AR,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.558597,-34.636899,America/Argentina/Buenos_Aires,UTC-03:00
B1706,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.588221,-34.647419,America/Argentina/Buenos_Aires,UTC-03:00
B1707,Argentina,,BuenosAires,BuenosAires,TresdeFebrero,TresdeFebrero,-58.564244,-34.630952,America/Argentina/Buenos_Aires,UTC-03:00
B1708,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.622128,-34.668157,America/Argentina/Buenos_Aires,UTC-03:00
B1711,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.686342,-34.636356,America/Argentina/Buenos_Aires,UTC-03:00
B1712,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.660081,-34.683309,America/Argentina/Buenos_Aires,UTC-03:00
B1713,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.660329,-34.625784,America/Argentina/Buenos_Aires,UTC-03:00
B1714,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.693342,-34.64049,America/Argentina/Buenos_Aires,UTC-03:00
B1715,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.713291,-34.627134,America/Argentina/Buenos_Aires,UTC-03:00
B1716,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.666654,-34.701604,America/Argentina/Buenos_Aires,UTC-03:00
B1717,Argentina,,BuenosAires,BuenosAires,MarcosPaz,MarcosPaz,-58.878413,-34.815869,America/Argentina/Buenos_Aires,UTC-03:00
B1718,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.682555,-34.684151,America/Argentina/Buenos_Aires,UTC-03:00
B1721,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.729054,-34.6801,America/Argentina/Buenos_Aires,UTC-03:00
B1722,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.786565,-34.688318,America/Argentina/Buenos_Aires,UTC-03:00
B1723,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.799907,-34.720829,America/Argentina/Buenos_Aires,UTC-03:00
B1724,Argentina,,BuenosAires,BuenosAires,Merlo,Merlo,-58.790446,-34.734825,America/Argentina/Buenos_Aires,UTC-03:00
B1726,Argentina,,BuenosAires,BuenosAires,Morón,Morón,-58.565055,-34.634679,America/Argentina/Buenos_Aires,UTC-03:00
B1727,Argentina,,BuenosAires,BuenosAires,GeneralRodríguez,GeneralRodríguez,-59.001102,-34.75014,America/Argentina/Buenos_Aires,UTC-03:00
B1736,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.762215,-34.584247,America/Argentina/Buenos_Aires,UTC-03:00
B1738,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.805847,-34.621276,America/Argentina/Buenos_Aires,UTC-03:00
B1740,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.812322,-34.531713,America/Argentina/Buenos_Aires,UTC-03:00
B1742,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.761679,-34.622874,America/Argentina/Buenos_Aires,UTC-03:00
B1743,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.781536,-34.614452,America/Argentina/Buenos_Aires,UTC-03:00
B1744,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.803723,-34.65044,America/Argentina/Buenos_Aires,UTC-03:00
B1745,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.843526,-34.661254,America/Argentina/Buenos_Aires,UTC-03:00
B1746,Argentina,,BuenosAires,BuenosAires,Moreno,Moreno,-58.881983,-34.584372,America/Argentina/Buenos_Aires,UTC-03:00
