postal_code,latitude,longitude,region_1_en,region_2_lc,region_2_en,country_lc,country_en,country_code,timezone,utc
510001,46.0993,23.5849,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510002,46.1014,23.5557,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510002,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510003,46.0333,23.5667,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510004,46.05,23.5167,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510005,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510006,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510007,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510008,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510009,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510010,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510011,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510012,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510014,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510016,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510017,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510021,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510022,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510026,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510029,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510030,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510031,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510032,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510033,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510034,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510037,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510039,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510040,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510041,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510042,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510045,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510046,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510047,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510048,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510049,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510050,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510053,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510054,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510055,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510056,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510057,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510061,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510062,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510063,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510064,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510065,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510066,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510070,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510072,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510073,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510077,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510078,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510079,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510080,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510081,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510082,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510083,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510084,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510085,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510086,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510087,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510088,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510089,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510090,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510093,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510094,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510095,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510096,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510097,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510101,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510102,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510103,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510104,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510105,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510106,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510109,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510110,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510111,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510112,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510113,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510114,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510115,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510116,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510117,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510118,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510119,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510120,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510121,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510122,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510124,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510125,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510126,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510127,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510128,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510129,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510134,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510135,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510136,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510137,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
510138,46.0667,23.5833,Alba,Alba Iulia,Alba Iulia,România,Romania,RO,Europe/Bucharest,UTC+2.0
