country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Boko-Songho,,,,Africa/Brazzaville,UTC +1:00,-4.51338332427394,13.5458058642232
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Loudima,,,,Africa/Brazzaville,UTC +1:00,-3.95996766376342,12.9376990353647
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Madingou,,,,Africa/Brazzaville,UTC +1:00,-4.19374944051277,13.6020514438376
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Mfouati,,,,Africa/Brazzaville,UTC +1:00,-4.38423969035411,13.8388198014436
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Mouyondzi,,,,Africa/Brazzaville,UTC +1:00,-3.88971678965178,13.953733024066
Republic of the Congo,Republic of the Congo,CG,,Bouenza,Bouenza,Nkayi District,,,,Africa/Brazzaville,UTC +1:00,-4.21200331066058,13.3004763756982
Republic of the Congo,Republic of the Congo,CG,,Brazzaville,Brazzaville,Brazzaville,,,,Africa/Brazzaville,UTC +1:00,-4.26635103695018,15.2637051844059
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Boundji,,,,Africa/Brazzaville,UTC +1:00,-0.787223759208653,15.2955259594196
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Loukoléla,Loukela,,,Africa/Brazzaville,UTC +1:00,-0.350786866814855,17.077841416307
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Makoua,,,,Africa/Brazzaville,UTC +1:00,0.059950471471581,15.617562754997
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Mossaka,,,,Africa/Brazzaville,UTC +1:00,-0.715649253788735,16.6254574853967
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Okoyo,,,,Africa/Brazzaville,UTC +1:00,-1.46118120794176,14.7328039894468
Republic of the Congo,Republic of the Congo,CG,,Cuvette,Cuvette,Owando,,,,Africa/Brazzaville,UTC +1:00,-0.613232243520991,15.9078305730556
Republic of the Congo,Republic of the Congo,CG,,Cuvette-Ouest,Cuvette-Ouest,Ewo,,,,Africa/Brazzaville,UTC +1:00,-0.747079258182054,14.8123141413316
Republic of the Congo,Republic of the Congo,CG,,Cuvette-Ouest,Cuvette-Ouest,Kéllé,,,,Africa/Brazzaville,UTC +1:00,-0.114409664280207,14.3756680358405
Republic of the Congo,Republic of the Congo,CG,,Cuvette-Ouest,Cuvette-Ouest,Mbomo,,,,Africa/Brazzaville,UTC +1:00,0.597092018375596,14.7063470902703
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Kakamoeka,,,,Africa/Brazzaville,UTC +1:00,-4.04276910100474,11.9419246220882
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Loandjili,Pointe Noire,,,Africa/Brazzaville,UTC +1:00,-4.63404008699974,11.9865313866268
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Loandjili,Pointe Noire,,,Africa/Brazzaville,UTC +1:00,-4.46773473678491,11.6989847360539
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Loandjili,Pointe Noire,,,Africa/Brazzaville,UTC +1:00,-4.46627770411823,11.6953329450158
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Madingo-Kayes,,,,Africa/Brazzaville,UTC +1:00,-3.96618745969617,11.5331396855017
Republic of the Congo,Republic of the Congo,CG,,Kouilou,Kouilou,Mvouti,,,,Africa/Brazzaville,UTC +1:00,-4.36635915491077,12.3758639288105
Republic of the Congo,Republic of the Congo,CG,,Lékoumou,Lékoumou,Bambama,,,,Africa/Brazzaville,UTC +1:00,-2.4764100116975,13.5909480977898
Republic of the Congo,Republic of the Congo,CG,,Lékoumou,Lékoumou,Komono,,,,Africa/Brazzaville,UTC +1:00,-2.91469953878728,13.3151789558458
Republic of the Congo,Republic of the Congo,CG,,Lékoumou,Lékoumou,Sibiti,,,,Africa/Brazzaville,UTC +1:00,-3.59178639413154,13.2391702028707
Republic of the Congo,Republic of the Congo,CG,,Lékoumou,Lékoumou,Zanaga,,,,Africa/Brazzaville,UTC +1:00,-2.99233380528461,13.9114001317709
Republic of the Congo,Republic of the Congo,CG,,Likouala,Likouala,Dongou,,,,Africa/Brazzaville,UTC +1:00,2.94923287707645,17.560801276374
Republic of the Congo,Republic of the Congo,CG,,Likouala,Likouala,Epéna,,,,Africa/Brazzaville,UTC +1:00,1.09655954719396,17.2549622908256
Republic of the Congo,Republic of the Congo,CG,,Likouala,Likouala,Impfondo,,,,Africa/Brazzaville,UTC +1:00,0.857509541305867,17.8024107887099
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Divénié,Divnie,,,Africa/Brazzaville,UTC +1:00,-2.63967294822236,12.0435672135979
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Kibangou,,,,Africa/Brazzaville,UTC +1:00,-3.42457973864458,12.1641849280647
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Kimongo,,,,Africa/Brazzaville,UTC +1:00,-4.57014476378287,13.198895544404
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Louvakou (Loubomo),Louvakou,,,Africa/Brazzaville,UTC +1:00,-3.95153813168099,12.5685500030549
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Mayoko,,,,Africa/Brazzaville,UTC +1:00,-2.28379483688207,12.7473544868593
Republic of the Congo,Republic of the Congo,CG,,Niari,Niari,Mossendjo,,,,Africa/Brazzaville,UTC +1:00,-3.00444411659142,12.6760229867068
Republic of the Congo,Republic of the Congo,CG,,Plateaux,Plateaux,Abala,,,,Africa/Brazzaville,UTC +1:00,-1.42655328190407,15.5474546600096
Republic of the Congo,Republic of the Congo,CG,,Plateaux,Plateaux,Djambala,,,,Africa/Brazzaville,UTC +1:00,-2.48776129876164,15.2012625452562
Republic of the Congo,Republic of the Congo,CG,,Plateaux,Plateaux,Gamboma,,,,Africa/Brazzaville,UTC +1:00,-1.92880429231165,15.9828704323318
Republic of the Congo,Republic of the Congo,CG,,Plateaux,Plateaux,Lékana,,,,Africa/Brazzaville,UTC +1:00,-2.30204088526553,14.4355024315145
Republic of the Congo,Republic of the Congo,CG,,Pointe Noire,Pointe Noire,Pointe Noire,,,,Africa/Brazzaville,UTC +1:00,-4.78779880550875,11.8718554353173
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Boko,,,,Africa/Brazzaville,UTC +1:00,-4.63849209892036,14.6370308937754
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Kindamba,,,,Africa/Brazzaville,UTC +1:00,-3.45323558141507,14.4485022205551
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Kinkala,,,,Africa/Brazzaville,UTC +1:00,-4.29169722220784,14.8539136308232
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Mayama,,,,Africa/Brazzaville,UTC +1:00,-3.39815945710465,15.0155663051268
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Mindouli,,,,Africa/Brazzaville,UTC +1:00,-4.19825732365006,14.3520930532339
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Ngabé,,,,Africa/Brazzaville,UTC +1:00,-3.28086504444489,15.7900926892675
Republic of the Congo,Republic of the Congo,CG,,Pool,Pool,Ngamaba,Brazzaville,,,Africa/Brazzaville,UTC +1:00,-3.92084307914547,15.4286439550453
Republic of the Congo,Republic of the Congo,CG,,Sangha,Sangha,Ouesso,,,,Africa/Brazzaville,UTC +1:00,1.1827565775574,16.0045339190196
Republic of the Congo,Republic of the Congo,CG,,Sangha,Sangha,Sembé,,,,Africa/Brazzaville,UTC +1:00,1.72693833962896,14.8240616012252
Republic of the Congo,Republic of the Congo,CG,,Sangha,Sangha,Souanké,,,,Africa/Brazzaville,UTC +1:00,1.76872920487677,13.7451598872245
