country_lc,country_en,country_code,postal_code,pc_main,pc_sub,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
The Netherlands,The Netherlands,NL,1011 AB,1011,AB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.377764,4.9056757
The Netherlands,The Netherlands,NL,1011 AC,1011,AC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3774286,4.9083046
The Netherlands,The Netherlands,NL,1011 AD,1011,AD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3767871,4.9046835
The Netherlands,The Netherlands,NL,1011 AE,1011,AE,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3754152,4.907486
The Netherlands,The Netherlands,NL,1011 AG,1011,AG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3758711,4.9029178
The Netherlands,The Netherlands,NL,1011 AH,1011,AH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3756873,4.9029288
The Netherlands,The Netherlands,NL,1011 AJ,1011,AJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3754327,4.902828
The Netherlands,The Netherlands,NL,1011 AK,1011,AK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3746467,4.9038792
The Netherlands,The Netherlands,NL,1011 AL,1011,AL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3688239,4.9019824
The Netherlands,The Netherlands,NL,1011 AM,1011,AM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3741588,4.9048406
The Netherlands,The Netherlands,NL,1011 AN,1011,AN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3740258,4.9050521
The Netherlands,The Netherlands,NL,1011 AP,1011,AP,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3739086,4.9052794
The Netherlands,The Netherlands,NL,1011 AR,1011,AR,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3737178,4.9056048
The Netherlands,The Netherlands,NL,1011 AS,1011,AS,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3734235,4.9061099
The Netherlands,The Netherlands,NL,1011 AT,1011,AT,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3732749,4.9063801
The Netherlands,The Netherlands,NL,1011 AV,1011,AV,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3730786,4.9067703
The Netherlands,The Netherlands,NL,1011 AW,1011,AW,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3729543,4.9069887
The Netherlands,The Netherlands,NL,1011 AX,1011,AX,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3740027,4.9044008
The Netherlands,The Netherlands,NL,1011 AZ,1011,AZ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3733069,4.9056393
The Netherlands,The Netherlands,NL,1011 BA,1011,BA,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3734992,4.9056551
The Netherlands,The Netherlands,NL,1011 BB,1011,BB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3733718,4.905456
The Netherlands,The Netherlands,NL,1011 BC,1011,BC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3727788,4.9068704
The Netherlands,The Netherlands,NL,1011 BD,1011,BD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726342,4.9066125
The Netherlands,The Netherlands,NL,1011 BG,1011,BG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3742246,4.9036646
The Netherlands,The Netherlands,NL,1011 BH,1011,BH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3736159,4.9044212
The Netherlands,The Netherlands,NL,1011 BJ,1011,BJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3734183,4.9048466
The Netherlands,The Netherlands,NL,1011 BK,1011,BK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3732192,4.9051217
The Netherlands,The Netherlands,NL,1011 BL,1011,BL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3730774,4.9053969
The Netherlands,The Netherlands,NL,1011 BM,1011,BM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3729857,4.9055676
The Netherlands,The Netherlands,NL,1011 BN,1011,BN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3728873,4.9057416
The Netherlands,The Netherlands,NL,1011 BP,1011,BP,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3727541,4.905982
The Netherlands,The Netherlands,NL,1011 BR,1011,BR,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726219,4.9062533
The Netherlands,The Netherlands,NL,1011 BS,1011,BS,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3750904,4.9027838
The Netherlands,The Netherlands,NL,1011 BT,1011,BT,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3746091,4.9025532
The Netherlands,The Netherlands,NL,1011 BV,1011,BV,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3742007,4.9025037
The Netherlands,The Netherlands,NL,1011 BW,1011,BW,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.373859,4.9027601
The Netherlands,The Netherlands,NL,1011 BX,1011,BX,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3733693,4.903093
The Netherlands,The Netherlands,NL,1011 BZ,1011,BZ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.373166,4.90348
The Netherlands,The Netherlands,NL,1011 CA,1011,CA,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3729519,4.9038716
The Netherlands,The Netherlands,NL,1011 CB,1011,CB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726773,4.9043737
The Netherlands,The Netherlands,NL,1011 CC,1011,CC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3724811,4.9047077
The Netherlands,The Netherlands,NL,1011 CD,1011,CD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3723481,4.9049614
The Netherlands,The Netherlands,NL,1011 CE,1011,CE,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3722056,4.9052235
The Netherlands,The Netherlands,NL,1011 CH,1011,CH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3738966,4.9021581
The Netherlands,The Netherlands,NL,1011 CJ,1011,CJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3737039,4.9025916
The Netherlands,The Netherlands,NL,1011 CK,1011,CK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3738619,4.9018936
The Netherlands,The Netherlands,NL,1011 CL,1011,CL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3736888,4.9023526
The Netherlands,The Netherlands,NL,1011 CM,1011,CM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3733758,4.9026212
The Netherlands,The Netherlands,NL,1011 CN,1011,CN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3729739,4.9029163
The Netherlands,The Netherlands,NL,1011 CP,1011,CP,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3734298,4.9019863
The Netherlands,The Netherlands,NL,1011 CR,1011,CR,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3732062,4.9019507
The Netherlands,The Netherlands,NL,1011 CS,1011,CS,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3728647,4.9025511
The Netherlands,The Netherlands,NL,1011 CT,1011,CT,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726571,4.9029423
The Netherlands,The Netherlands,NL,1011 CV,1011,CV,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3724579,4.9032675
The Netherlands,The Netherlands,NL,1011 CW,1011,CW,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3722338,4.9036909
The Netherlands,The Netherlands,NL,1011 CX,1011,CX,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3720477,4.9040043
The Netherlands,The Netherlands,NL,1011 CZ,1011,CZ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3718777,4.904305
The Netherlands,The Netherlands,NL,1011 DB,1011,DB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3733745,4.902671
The Netherlands,The Netherlands,NL,1011 DC,1011,DC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3715522,4.9010202
The Netherlands,The Netherlands,NL,1011 DD,1011,DD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3763957,4.9067452
The Netherlands,The Netherlands,NL,1011 DE,1011,DE,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3756685,4.9093191
The Netherlands,The Netherlands,NL,1011 DG,1011,DG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3761674,4.9076529
The Netherlands,The Netherlands,NL,1011 DH,1011,DH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3762921,4.9084726
The Netherlands,The Netherlands,NL,1011 DJ,1011,DJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3764721,4.9059754
The Netherlands,The Netherlands,NL,1011 DK,1011,DK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3764279,4.9074664
The Netherlands,The Netherlands,NL,1011 DL,1011,DL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3760378,4.9069717
The Netherlands,The Netherlands,NL,1011 DZ,1011,DZ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3717353,4.9014652
The Netherlands,The Netherlands,NL,1011 EA,1011,EA,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3728942,4.9018543
The Netherlands,The Netherlands,NL,1011 EB,1011,EB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3725801,4.9024159
The Netherlands,The Netherlands,NL,1011 EC,1011,EC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3721758,4.9031501
The Netherlands,The Netherlands,NL,1011 ED,1011,ED,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.371707,4.9040253
The Netherlands,The Netherlands,NL,1011 EE,1011,EE,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726162,4.9040445
The Netherlands,The Netherlands,NL,1011 EG,1011,EG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3725268,4.9037094
The Netherlands,The Netherlands,NL,1011 EH,1011,EH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.375789,4.9025663
The Netherlands,The Netherlands,NL,1011 EJ,1011,EJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.375347,4.9023554
The Netherlands,The Netherlands,NL,1011 EK,1011,EK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3749105,4.9021272
The Netherlands,The Netherlands,NL,1011 EL,1011,EL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3742958,4.9018239
The Netherlands,The Netherlands,NL,1011 EM,1011,EM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3736557,4.9015024
The Netherlands,The Netherlands,NL,1011 EN,1011,EN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3730328,4.9012305
The Netherlands,The Netherlands,NL,1011 ER,1011,ER,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3741457,4.9022083
The Netherlands,The Netherlands,NL,1011 ES,1011,ES,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3727086,4.9013717
The Netherlands,The Netherlands,NL,1011 ET,1011,ET,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3723375,4.9020584
The Netherlands,The Netherlands,NL,1011 EV,1011,EV,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3726257,4.9012556
The Netherlands,The Netherlands,NL,1011 EW,1011,EW,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3722964,4.9017736
The Netherlands,The Netherlands,NL,1011 EX,1011,EX,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3718233,4.9029967
The Netherlands,The Netherlands,NL,1011 EZ,1011,EZ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3714985,4.9035354
The Netherlands,The Netherlands,NL,1011 GA,1011,GA,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3716665,4.902985
The Netherlands,The Netherlands,NL,1011 GB,1011,GB,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3716996,4.9035883
The Netherlands,The Netherlands,NL,1011 GC,1011,GC,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3717432,4.903443
The Netherlands,The Netherlands,NL,1011 GD,1011,GD,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3718498,4.9015643
The Netherlands,The Netherlands,NL,1011 GG,1011,GG,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3713242,4.9027873
The Netherlands,The Netherlands,NL,1011 GH,1011,GH,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3712197,4.9026908
The Netherlands,The Netherlands,NL,1011 GJ,1011,GJ,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3714554,4.9029685
The Netherlands,The Netherlands,NL,1011 GK,1011,GK,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3714133,4.9017735
The Netherlands,The Netherlands,NL,1011 GL,1011,GL,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3713644,4.9013809
The Netherlands,The Netherlands,NL,1011 GM,1011,GM,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3707692,4.9018543
The Netherlands,The Netherlands,NL,1011 GN,1011,GN,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3727623,4.9016976
The Netherlands,The Netherlands,NL,1011 GP,1011,GP,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3721682,4.9028217
The Netherlands,The Netherlands,NL,1011 GR,1011,GR,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3717338,4.9026287
The Netherlands,The Netherlands,NL,1011 GS,1011,GS,Noord-Holland,North Holland,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Europe/Amsterdam,UTC +1.0,52.3711514,4.9022112
